implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,17731917,8371000,70026291,28128084,153644,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,22461625,14762333,46147959,27529375,148824,0
ajv,v8.20.0,ansible-meta,6314083,204292,548125,46926084,123844,0
ajv,v8.20.0,ansible-meta-invalid,5597542,83750,683208,44938000,107100,0
ajv,v8.20.0,aws-cdk,604791,33416,1524792,15868375,75096,0
ajv,v8.20.0,aws-cdk-invalid,577708,24083,824000,15792166,75868,0
ajv,v8.20.0,babelrc,1980625,159000,707250,21494750,82680,0
ajv,v8.20.0,babelrc-invalid,1819166,139292,1210250,21887125,88156,0
ajv,v8.20.0,clang-format,5161500,825125,329583,38679750,137736,0
ajv,v8.20.0,clang-format-invalid,4395292,128916,413084,38483125,88336,0
ajv,v8.20.0,cmake-presets,37331750,9866000,8625333,71098500,180068,0
ajv,v8.20.0,cmake-presets-invalid,30095334,8500291,9870459,72659417,192288,0
ajv,v8.20.0,code-climate,2249333,175291,5115667,20468708,83828,0
ajv,v8.20.0,code-climate-invalid,3382792,224000,4883500,22475833,86264,0
ajv,v8.20.0,cypress,5825291,2306500,2206708,31385625,103532,0
ajv,v8.20.0,cypress-invalid,3924375,801333,1524584,30165916,101160,0
ajv,v8.20.0,deno-rmUniqueItems,3369667,938833,3650375,26311458,96264,0
ajv,v8.20.0,deno-rmUniqueItems-invalid,2591458,431208,2822750,24116083,99620,0
ajv,v8.20.0,dependabot,2363375,333291,1725042,19697333,76812,0
ajv,v8.20.0,dependabot-invalid,1692042,162084,2257750,18986750,85148,0
ajv,v8.20.0,draft-04-rmUniqueItems,26181417,13159709,24061333,21589041,168480,0
ajv,v8.20.0,draft-04-rmUniqueItems-invalid,14391417,4226042,23648666,23401208,149424,0
ajv,v8.20.0,example-address-invalid,8288250,4003500,14566000,29974791,128700,0
ajv,v8.20.0,example-address-valid,5363875,4244500,13750042,23966875,117620,0
ajv,v8.20.0,example-blogpost-invalid,9613042,3210166,44940291,28215334,132156,0
